Trial_number,Time_s
1,3801.360265016556
2,3828.854465007782
3,3845.280998945236
4,3861.83993601799
5,3877.724364042282
6,3900.245714902878
7,3918.608006954193
8,3937.4366829395294
9,3954.877753019333
10,3992.7625250816345
11,4083.260806083679
12,4136.671192884445
13,5321.923207044601
14,5481.603219032288
15,8037.543786048889
16,8103.788485050201
17,8323.203778982162
18,9374.566277980804
19,9400.38640999794
20,9430.23138999939
21,9444.539298057556
22,9460.548840045929
23,9482.488201856613
24,9500.074315071106
25,9515.216068029404
26,9529.481714963913
27,9544.223686933517
28,9569.26574087143
29,9589.73496389389
30,9627.030300855637
31,9643.149281024933
32,9661.993713855743
33,9676.778753995895
34,9694.126935958862
35,9724.039260864258
36,9752.504467010498
37,9770.623960971832
38,9785.440783977509
39,9803.073613882065
40,9816.172721862793
41,9840.054326057434
42,9860.262741088867
43,9899.259306907654
44,9912.271956920624
45,10123.10812997818
46,10168.21201300621
47,10181.461396932602
48,10213.617006063461
49,10227.451088905334
50,10240.908547878265
51,10258.726590871811
52,10287.3594019413
53,10345.571337938309
54,10412.070148944855
55,10479.242408037186
56,10492.996156930923
57,10574.836719989777
58,10645.971488952637
59,13165.809644937515
60,13181.062689065933
61,13197.317525863647
62,13221.318418979645
63,13283.67238998413
64,13297.561860084534
65,13315.740957021713
66,13331.756537914276
67,13358.541074037552
68,13377.81971001625
69,13463.467791080475
70,13656.044574022293
71,14308.307259082794
